,Unnamed: 0,Country or Area,Industry,Value,ratio
74,205,China,"Transport, storage and communication (ISIC Rev.2: Major Division 7)",5637846.0,0.98497632127717
75,206,China,"Transport, storage and communications (ISIC Rev.3/3.1: Section I)",5637846.0,0.98497632127717
76,207,China,Transportation and storage (ISIC Rev.4: Section H),5089408.0,0.8891598616419499
77,196,China,"Other community, social and personal service activities (ISIC Rev.3/3.1: Section O)",4856160.0,0.84840958982089
78,157,China,Accommodation and food service activities (ISIC Rev.4: Section I),3906370.0,0.68247375897595
79,185,China,Hotels and restaurants (ISIC Rev.3/3.1: Section H),3906370.0,0.68247375897595
80,158,China,Activities not adequately defined (ISIC Rev.2: Major Division 0),3673750.0,0.64183320372568
81,159,China,Activities not adequately described (ISIC Rev.1: Division 9),3673750.0,0.64183320372568
82,199,China,Public administration and defence; compulsory social security (ISIC Rev.4: Section O),3592968.0,0.62771994891428
83,200,China,Public administration and defense; compulsory social security (ISIC Rev.3/3.1: Section L),3592968.0,0.62771994891428
84,173,China,Education (ISIC Rev.3/3.1: Section M),3301998.0,0.5768851868079701
85,174,China,Education (ISIC Rev.4: Section P),3301998.0,0.5768851868079701
86,182,China,"Financing, insurance, real estate and business services (ISIC Rev.2: Major Division 8)",3107010.0,0.54281923982517
87,197,China,Other service activities (ISIC Rev.4: Section S),2882414.0,0.50358054088704
88,202,China,"Real estate, renting and business activities (ISIC Rev.3/3.1: Section K)",1944686.0,0.33975203691609
89,184,China,Health and social work (ISIC Rev.3/3.1: Section N),1641112.0,0.2867152562457
90,186,China,Human health and social work activities (ISIC Rev.4: Section Q),1641112.0,0.2867152562457
91,192,China,Mining and quarrying (ISIC Rev.1: Division 1),1618700.0,0.28279970244866
92,193,China,Mining and quarrying (ISIC Rev.2: Major Division 2),1618700.0,0.28279970244866
93,194,China,Mining and quarrying (ISIC Rev.3/3.1: Section C),1618700.0,0.28279970244866
94,195,China,Mining and quarrying (ISIC Rev.4: Section B),1618700.0,0.28279970244866
95,180,China,Financial and insurance activities (ISIC Rev.4: Section K),1162324.0,0.20306720290907998
96,181,China,Financial intermediation (ISIC Rev.3/3.1:  Section J),1162324.0,0.20306720290907998
97,169,China,Construction (ISIC Rev.1: Division 4),991982.0,0.17330710720604
98,175,China,"Electricity, gas and water (ISIC Rev.2: Major Division 4)",991982.0,0.17330710720604
99,176,China,"Electricity, gas and water supply (ISIC Rev.3/3.1: Section E)",991982.0,0.17330710720604
100,161,China,Administrative and support service activities (ISIC Rev.4: Section N),982644.0,0.17167568469324
101,201,China,Real estate activities (ISIC Rev.4: Section L),962042.0,0.16807635222283998
102,187,China,Information and communication (ISIC Rev.4: Section J),878824.0,0.15353750892984
103,177,China,"Electricity, gas, steam and air conditioning supply (ISIC Rev.4: Section D)",840970.0,0.14692411550518
104,208,China,"Water supply; sewerage, waste management and remediation activities (ISIC Rev.4: Section E)",686140.0,0.11987408898382002
105,166,China,"Arts, entertainment and recreation (ISIC Rev.4: Section R)",649002.0,0.11338578642649999
106,183,China,Fishing (ISIC Rev.3/3.1: Section B),628596.0,0.10982069670748999
107,198,China,"Professional, scientific and technical activities (ISIC Rev.4: Section M)",459230.0,0.08023111592975
108,160,China,Activities of extraterritorial organizations and bodies (ISIC Rev.4: Section U),1316.0,0.0002299156164962233
109,179,China,Extraterritorial organizations and bodies (ISIC Rev.3/3.1: Section Q),1316.0,0.0002299156164962233
110,229,Dominican Republic,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods (ISIC Rev.3/3.1: Section G)",1459710.0,24.091957134204
111,222,Dominican Republic,Manufacturing (ISIC Rev.3/3.1: Section D),659288.0,10.88129713100211
112,213,Dominican Republic,"Agriculture, hunting and forestry (ISIC Rev.3/3.1: Section A)",577706.0,9.53481731862661
113,224,Dominican Republic,"Other community, social and personal service activities (ISIC Rev.3/3.1: Section O)",415750.0,6.86179527340726
114,227,Dominican Republic,"Transport, storage and communications (ISIC Rev.3/3.1: Section I)",406264.0,6.70523245930373
115,214,Dominican Republic,Construction (ISIC Rev.3/3.1: Section F),404220.0,6.67149701844061
116,212,Dominican Republic,Activities of private households as employers and undifferentiated production activities of private households (ISIC Rev.3/3.1: Section P),370124.0,6.10875553523653
117,228,Dominican Republic,Unknown,316026.0,5.2158886664433
118,215,Dominican Republic,Education (ISIC Rev.3/3.1: Section M),291510.0,4.8112614315116
119,225,Dominican Republic,Public administration and defense; compulsory social security (ISIC Rev.3/3.1: Section L),279940.0,4.62030299179225
120,221,Dominican Republic,Hotels and restaurants (ISIC Rev.3/3.1: Section H),252898.0,4.17398508972736
121,226,Dominican Republic,"Real estate, renting and business activities (ISIC Rev.3/3.1: Section K)",250214.0,4.1296866928209806
122,220,Dominican Republic,Health and social work (ISIC Rev.3/3.1: Section N),186744.0,3.08213853646943
123,218,Dominican Republic,Financial intermediation (ISIC Rev.3/3.1:  Section J),114062.0,1.8825498315703602
124,216,Dominican Republic,"Electricity, gas and water supply (ISIC Rev.3/3.1: Section E)",51044.0,0.84246176292435
125,223,Dominican Republic,Mining and quarrying (ISIC Rev.3/3.1: Section C),13044.0,0.21528624785646
126,219,Dominican Republic,Fishing (ISIC Rev.3/3.1: Section B),8146.0,0.13444662488797
127,217,Dominican Republic,Extraterritorial organizations and bodies (ISIC Rev.3/3.1: Section Q),2220.0,0.03664025377501
128,234,Ecuador,"Agriculture, forestry and fishing (ISIC Rev.4: Section A)",2522824.0,21.83956882238162
129,251,Ecuador,Wholesale and retail trade; repair of motor vehicles and motorcycles (ISIC Rev.4: Section G),2131170.0,18.44910064562373
130,242,Ecuador,Manufacturing (ISIC Rev.4: Section C),1173530.0,10.15900800060943
131,249,Ecuador,Unknown,883918.0,7.65189644396197
132,236,Ecuador,Construction (ISIC Rev.4: Section F),754980.0,6.5357066801020105
133,248,Ecuador,Transportation and storage (ISIC Rev.4: Section H),602498.0,5.21570134751662
134,237,Ecuador,Education (ISIC Rev.4: Section P),593664.0,5.1392272252722995
135,246,Ecuador,Public administration and defence; compulsory social security (ISIC Rev.4: Section O),474598.0,4.10849733630434
136,230,Ecuador,Accommodation and food service activities (ISIC Rev.4: Section I),439302.0,3.80294711910537
137,232,Ecuador,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (ISIC Rev.4: Section T),418572.0,3.6234917699855
138,233,Ecuador,Administrative and support service activities (ISIC Rev.4: Section N),308364.0,2.66944376632887
139,240,Ecuador,Human health and social work activities (ISIC Rev.4: Section Q),284224.0,2.46046874810632
